newsloc	newspaper	location	issues mentioning wk	issues mentioning pr	issues mentioning gd
daily-tobacco-leaf-chronicle_clarksville,-tenn.	daily-tobacco-leaf-chronicle	clarksville,-tenn.	23	45	27
the-sully-county-watchman_clifton,-dakota-[s.d.]	the-sully-county-watchman	clifton,-dakota-[s.d.]	4	9	5
arizona-weekly-citizen_tucson,-ariz	arizona-weekly-citizen	tucson,-ariz	4	11	7
the-press_stafford-springs,-conn.	the-press	stafford-springs,-conn.	1	1	2
the-hartford-herald_hartford,-ky.	the-hartford-herald	hartford,-ky.	2	0	1
dodge-city-times_dodge-city,-kan.	dodge-city-times	dodge-city,-kan.	4	7	6
the-lafayette-advertiser_vermilionville-[i.e.-lafayette],-la.	the-lafayette-advertiser	vermilionville-[i.e.-lafayette],-la.	2	0	1
peninsula-enterprise_accomac,-va.	peninsula-enterprise	accomac,-va.	0	0	0
the-middleburgh-post_middleburgh,-snyder-co.,-pa.	the-middleburgh-post	middleburgh,-snyder-co.,-pa.	0	0	1
aberdeen-herald_aberdeen,-chehalis-county,-w.t.	aberdeen-herald	aberdeen,-chehalis-county,-w.t.	0	1	1
the-breckenridge-news_cloverport,-ky.	the-breckenridge-news	cloverport,-ky.	0	0	0
the-intelligencer_lexington,-mo.	the-intelligencer	lexington,-mo.	1	2	5
the-big-stone-post_big-stone-gap,-va.	the-big-stone-post	big-stone-gap,-va.	4	3	3
alpena-weekly-argus_alpena,-mich.	alpena-weekly-argus	alpena,-mich.	0	2	0
the-midland-journal_rising-sun,-md.	the-midland-journal	rising-sun,-md.	0	0	0
the-fairfield-news-and-herald_winnsboro,-s.c.	the-fairfield-news-and-herald	winnsboro,-s.c.	5	4	2
western-kansas-world_wakeeney,-kan.	western-kansas-world	wakeeney,-kan.	4	8	7
the-wahpeton-times_wahpeton,-richland-county,-dakota-[n.d.]	the-wahpeton-times	wahpeton,-richland-county,-dakota-[n.d.]	4	8	7
vermont-phœnix_brattleboro,-vt.	vermont-phœnix	brattleboro,-vt.	2	3	1
arizona-weekly-enterprise_florence,-pinal-county,-arizona-territory	arizona-weekly-enterprise	florence,-pinal-county,-arizona-territory	0	1	5
st-tammany-farmer_covington,-la.	st-tammany-farmer	covington,-la.	0	0	0
süd-california-deutsche-zeitung_san-diego,-calif.	süd-california-deutsche-zeitung	san-diego,-calif.	0	4	0
the-portland-daily-press_portland,-me.	the-portland-daily-press	portland,-me.	14	37	16
the-semi-weekly-tribune_great-falls,-mont.	the-semi-weekly-tribune	great-falls,-mont.	7	18	10
baxter-springs-news_baxter-springs,-kan.	baxter-springs-news	baxter-springs,-kan.	5	4	3
evening-journal_wilmington,-del.	evening-journal	wilmington,-del.	13	30	11
shenandoah-herald_woodstock,-va.	shenandoah-herald	woodstock,-va.	1	2	2
the-saline-county-journal_salina,-kan.	the-saline-county-journal	salina,-kan.	1	2	1
the-united-opinion_bradford,-vt.	the-united-opinion	bradford,-vt.	1	0	3
iuka-reporter_iuka,-miss.	iuka-reporter	iuka,-miss.	1	3	0
the-iowa-plain-dealer_new-oregon,-howard-county,-iowa	the-iowa-plain-dealer	new-oregon,-howard-county,-iowa	4	9	4
the-sun_new-york-[n.y.]	the-sun	new-york-[n.y.]	41	36	38
elmore-bulletin_rocky-bar,-idaho	elmore-bulletin	rocky-bar,-idaho	0	0	0
the-mt-sterling-advocate_mt.-sterling,-ky.	the-mt-sterling-advocate	mt.-sterling,-ky.	0	0	1
the-daily-state-chronicle_raleigh,-n.c.	the-daily-state-chronicle	raleigh,-n.c.	6	12	1
burlington-weekly-free-press_burlington,-vt.	burlington-weekly-free-press	burlington,-vt.	1	0	0
the-indianapolis-journal_indianapolis-[ind.]	the-indianapolis-journal	indianapolis-[ind.]	43	89	55
evening-capital-journal_salem,-or.	evening-capital-journal	salem,-or.	9	18	6
the-democratic-press_ravenna,-o.-[ohio]	the-democratic-press	ravenna,-o.-[ohio]	2	2	0
the-north-platte-tribune_north-platte,-neb.	the-north-platte-tribune	north-platte,-neb.	0	1	0
arizona-weekly-journal-miner_prescott,-ariz.	arizona-weekly-journal-miner	prescott,-ariz.	1	4	2
the-ketchum-keystone_ketchum,-idaho	the-ketchum-keystone	ketchum,-idaho	6	0	5
the-princeton-union_princeton,-minn.	the-princeton-union	princeton,-minn.	4	11	6
the-critic-and-record_washington,-d.c.	the-critic-and-record	washington,-d.c.	1	0	0
the-advocate_meriden,-kan.	the-advocate	meriden,-kan.	0	0	0
the-abbeville-press-and-banner_abbeville,-s.c.	the-abbeville-press-and-banner	abbeville,-s.c.	5	8	4
flat-top-monitor_bramwell,-w.-va.	flat-top-monitor	bramwell,-w.-va.	0	0	0
gazeta-de-puerto-rico_[san-juan,-p.r.	gazeta-de-puerto-rico	[san-juan,-p.r.	0	0	0
the-rugby-news_rugby,-morgan-county,-tenn.	the-rugby-news	rugby,-morgan-county,-tenn.	0	0	1
the-lamar-register_lamar,-colo.	the-lamar-register	lamar,-colo.	0	0	0
the-hawaiian-gazette_honolulu-[oahu,-hawaii]	the-hawaiian-gazette	honolulu-[oahu,-hawaii]	0	1	0
crawford-avalanche_grayling,-mich.	crawford-avalanche	grayling,-mich.	6	4	6
the-indiana-state-sentinel_indianapolis	the-indiana-state-sentinel	indianapolis	5	1	1
the-democratic-advocate_westminster,-md.	the-democratic-advocate	westminster,-md.	0	2	2
freeland-tribune_freeland,-pa.	freeland-tribune	freeland,-pa.	2	0	1
the-new-north-west_deer-lodge,-mont.	the-new-north-west	deer-lodge,-mont.	0	8	6
the-worthington-advance_worthington,-minn.	the-worthington-advance	worthington,-minn.	4	8	1
st-landry-clarion_opelousas,-la.	st-landry-clarion	opelousas,-la.	0	1	0
the-kimball-graphic_kimball,-brule-county,-dakota-[s.d.]	the-kimball-graphic	kimball,-brule-county,-dakota-[s.d.]	3	7	9
sierra-county-advocate_kingston,-n.m.	sierra-county-advocate	kingston,-n.m.	1	1	0
the-lexington-record_lexington,-ky.	the-lexington-record	lexington,-ky.	0	0	0
the-st-johns-herald_st.-johns,-apache-county,-arizona-territory-[ariz.]	the-st-johns-herald	st.-johns,-apache-county,-arizona-territory-[ariz.]	4	4	5
savannah-courier_savannah,-tenn.	savannah-courier	savannah,-tenn.	0	0	0
tombstone-epitaph_tombstone,-ariz.	tombstone-epitaph	tombstone,-ariz.	7	7	6
rio-grande-republican_las-cruces,-n.m.	rio-grande-republican	las-cruces,-n.m.	0	0	0
shepherdstown-register_shepherdstown,-va.-[w.-va.]	shepherdstown-register	shepherdstown,-va.-[w.-va.]	0	1	0
the-state-republican_jefferson-city,-mo.	the-state-republican	jefferson-city,-mo.	4	1	2
the-colfax-chronicle_colfax,-grant-parish,-la.	the-colfax-chronicle	colfax,-grant-parish,-la.	0	1	0
the-arizona-champion_peach-springs,-mohave-county,-a.t.-[ariz.]	the-arizona-champion	peach-springs,-mohave-county,-a.t.-[ariz.]	0	1	1
yazoo-city-herald_yazoo-city,-miss.	yazoo-city-herald	yazoo-city,-miss.	0	0	0
the-sunday-herald-and-weekly-national-intelligencer_washington-[d.c.]	the-sunday-herald-and-weekly-national-intelligencer	washington-[d.c.]	4	7	5
the-helena-independent_helena,-mont.	the-helena-independent	helena,-mont.	33	57	31
workmen's-advocate_new-haven,-conn.	workmen's-advocate	new-haven,-conn.	0	0	0
the-wheeling-daily-intelligencer_wheeling,-w.-va.	the-wheeling-daily-intelligencer	wheeling,-w.-va.	18	23	22
indian-chieftain_vinita,-indian-territory-[okla.]	indian-chieftain	vinita,-indian-territory-[okla.]	5	1	1
spirit-of-jefferson_charles-town,-va.-[w.-va.]	spirit-of-jefferson	charles-town,-va.-[w.-va.]	0	0	0
saint-mary's-beacon_leonard-town,-md.	saint-mary's-beacon	leonard-town,-md.	1	2	1
the-islander_friday-harbor,-wash.	the-islander	friday-harbor,-wash.	0	0	0
der-westbote_columbus,-ohio	der-westbote	columbus,-ohio	4	3	0
turner-county-herald_hurley,-dakota-[s.d.]	turner-county-herald	hurley,-dakota-[s.d.]	1	5	6
mohave-county-miner_mineral-park,-a.t.-[ariz.]	mohave-county-miner	mineral-park,-a.t.-[ariz.]	4	2	8
idaho-news_blackfoot,-idaho	idaho-news	blackfoot,-idaho	1	4	3
spokane-falls-review_spokane-falls,-w.t.-[wash.]	spokane-falls-review	spokane-falls,-w.t.-[wash.]	0	4	3
catoctin-clarion_mechanicstown,-md.	catoctin-clarion	mechanicstown,-md.	1	0	1
richmond-dispatch_richmond,-va.	richmond-dispatch	richmond,-va.	9	11	2
morning-journal-and-courier_new-haven-[conn.]	morning-journal-and-courier	new-haven-[conn.]	24	27	17
the-morning-call_san-francisco-[calif.]	the-morning-call	san-francisco-[calif.]	37	55	40
los-angeles-herald_los-angeles-[calif.]	los-angeles-herald	los-angeles-[calif.]	30	68	43
the-dalles-weekly-chronicle_the-dalles,-or.	the-dalles-weekly-chronicle	the-dalles,-or.	7	9	5
pittsburg-dispatch_pittsburg-[pa.]	pittsburg-dispatch	pittsburg-[pa.]	40	51	65
the-dispatch_provo-city,-utah	the-dispatch	provo-city,-utah	6	0	6
sullivan-republican_laporte,-pa.	sullivan-republican	laporte,-pa.	0	3	0
