newspaper	date	wk
tombstone-daily-prospector	1891-01-09	0.0215
the-morning-news	1891-02-08	0
los-angeles-herald	1890-11-18	0
the-wichita-daily-eagle	1891-01-13	0.0193
arizona-weekly-citizen	1891-01-10	0.0569
the-morning-call	1891-02-18	0
juniata-sentinel-and-republican	1891-01-28	0
the-wichita-daily-eagle	1891-01-07	0.0271
the-brookhaven-leader	1891-03-19	0
yorkville-enquirer	1890-11-12	0
the-seattle-post-intelligencer	1891-01-19	0.0188
the-yakima-herald	1890-11-13	0
evening-capital-journal	1891-01-09	0.011
washington-standard	1891-03-27	0
the-watchman-and-southron	1890-11-05	0
evening-journal	1890-12-09	0
the-magnolia-gazette	1891-02-28	0
evening-capital	1890-11-22	0
the-bennington-banner	1891-02-12	0
arizona-republican	1891-01-29	0
richmond-dispatch	1891-03-31	0
the-vermont-watchman	1891-01-28	0
sacramento-daily-record-union	1890-12-07	0
wheeling-register	1890-12-20	0
pittsburg-dispatch	1890-12-18	0
new-ulm-weekly-review	1890-11-19	0
south-branch-intelligencer	1891-02-20	0
the-columbian	1890-11-14	0
the-dalles-daily-chronicle	1891-02-23	0
telegram-herald	1890-11-09	0
perrysburg-journal	1891-02-07	0
vermont-phœnix	1891-02-13	0
the-globe-republican	1891-02-18	0
richmond-dispatch	1891-03-25	0
wood-river-times	1891-01-20	0
sacramento-daily-record-union	1890-12-13	0
the-madison-daily-leader	1890-12-19	0
the-manitowoc-pilot	1891-01-29	0
wood-river-times	1891-01-08	0
the-vermont-watchman	1891-01-14	0
the-sun	1891-02-01	0
pittsburg-dispatch	1890-12-24	0
the-madison-daily-leader	1890-12-31	0.0115
the-kinsley-graphic	1891-03-27	0
the-manitowoc-pilot	1891-01-01	0
arizona-republican	1891-01-15	0.0391
frostburg-mining-journal	1891-03-21	0
bismarck-weekly-tribune	1890-12-26	0
the-columbian	1890-11-28	0
der-deutsche-correspondent	1891-03-26	0
the-anaconda-standard	1891-03-02	0
the-prison-mirror	1890-12-04	0
freie-presse-für-texas	1891-01-07	0
daily-independent	1891-01-23	0
the-anaconda-standard	1891-03-16	0
freie-presse-für-texas	1891-01-13	0
the-evening-world	1891-03-23	0
belmont-chronicle	1891-03-12	0
telegram-herald	1890-11-21	0
bridgeton-pioneer	1891-02-12	0
maryland-independent	1890-12-19	0
the-diamond-drill	1891-03-07	0
arizona-republican	1891-01-01	0.0139
the-manitowoc-pilot	1891-01-15	0
boletín-mercantil-de-puerto-rico	1890-11-23	0
the-pickens-sentinel	1891-02-26	0
richmond-dispatch	1891-03-19	0
the-sun	1891-02-15	0
pittsburg-dispatch	1890-12-30	0.0138
wheeling-register	1890-12-08	0
idaho-news	1891-02-07	0
the-manchester-journal	1891-02-05	0
juniata-sentinel-and-republican	1891-03-11	0
dziennik-chicagoski	1891-03-12	0
the-herald-advance	1891-02-27	0
alexandria-gazette	1891-03-19	0
capital-city-courier	1891-03-14	0
baxter-springs-news	1891-01-24	0.0139
evening-capital-journal	1891-03-24	0
evening-capital-journal	1891-03-30	0
morning-appeal	1891-01-16	0
the-wheeling-daily-intelligencer	1891-03-26	0
southern-standard	1890-11-22	0
iowa-county-democrat	1890-12-05	0
dziennik-chicagoski	1891-03-06	0
deseret-evening-news	1890-11-14	0
the-seattle-post-intelligencer	1891-03-20	0
the-salt-lake-herald	1891-02-26	0
delaware-gazette-and-state-journal	1891-02-05	0
rock-island-daily-argus	1891-03-26	0
alpena-weekly-argus	1890-11-26	0
alexandria-gazette	1891-03-25	0
the-indianapolis-journal	1890-12-16	0
hopkinsville-kentuckian	1890-11-21	0
the-seattle-post-intelligencer	1891-03-08	0
the-stark-county-democrat	1891-02-12	0
fort-worth-weekly-gazette	1890-11-20	0
capital-city-courier	1891-03-28	0
the-saline-county-journal	1890-12-04	0
the-brookhaven-leader	1891-01-08	0
evening-capital-journal	1891-03-18	0
the-portland-daily-press	1890-12-04	0
virginia-free-press	1891-02-25	0
saint-mary's-beacon	1891-01-22	0.0138
albuquerque-weekly-citizen	1891-02-07	0
