newspaper	date	wk
the-progressive-farmer	1890-11-25	0
blue-grass-blade	1890-11-01	0
asheville-daily-citizen	1891-02-09	0
eureka-weekly-sentinel	1890-11-22	0
la-correspondencia-de-puerto-rico	1891-02-05	0
the-hope-pioneer	1890-12-26	0
the-port-gibson-reveille	1890-12-24	0
asheville-daily-citizen	1891-02-21	0
sullivan-republican	1891-03-13	0
the-abbeville-press-and-banner	1891-03-25	0
santa-fe-daily-new-mexican	1891-02-07	0
freie-presse-für-texas	1891-03-12	0
the-evening-world	1891-01-22	0
fisherman-&-farmer	1891-02-20	0
st	1890-11-11	0
the-helena-independent	1891-02-10	0
the-anaconda-standard	1891-01-17	0.0154
macon-beacon	1890-12-06	0
the-delta-independent	1891-02-03	0
richmond-dispatch	1891-01-18	0
the-hazel-green-herald	1891-03-27	0
waterbury-evening-democrat	1891-02-25	0
daily-tobacco-leaf-chronicle	1891-02-25	0
the-democratic-press	1891-02-11	0
arizona-republican	1891-03-14	0
the-pascagoula-democrat-star	1891-02-06	0
the-delta-independent	1891-02-17	0
wood-river-times	1891-03-09	0
wiarus	1891-02-26	0
freie-presse-für-texas	1891-03-06	0
skaffaren	1891-02-25	0
st	1890-11-05	0
the-helena-independent	1891-02-04	0
the-newberry-herald-and-news	1891-03-19	0
savannah-courier	1890-11-27	0
the-anaconda-standard	1891-01-03	0.0275
der-deutsche-correspondent	1891-01-27	0
santa-fe-daily-new-mexican	1891-02-13	0
the-salt-lake-herald	1890-11-01	0
the-sioux-county-journal	1891-01-15	0.0306
the-indianapolis-journal	1891-01-19	0.0267
the-herald-advance	1890-11-14	0
barbour-county-index	1891-03-18	0
weekly-graphic	1891-03-27	0
the-record-union	1891-01-30	0.0155
evening-journal	1891-03-17	0
morning-appeal	1890-12-31	0
desoto-times	1890-11-27	0
the-daily-state-chronicle	1890-11-25	0
the-dickinson-press	1891-02-14	0
the-jersey-city-news	1891-02-19	0
la-voz-del-pueblo	1891-01-31	0
the-black-hills-union	1891-01-29	0
the-record-union	1891-01-24	0.0142
evening-journal	1891-03-03	0
morning-appeal	1890-12-25	0
the-dalles-weekly-chronicle	1891-02-27	0
the-salt-lake-herald	1890-11-15	0
the-sioux-county-journal	1891-01-01	0
deseret-evening-news	1891-02-27	0
the-lincoln-county-leader	1891-02-21	0
the-daily-bulletin	1891-02-10	0
omaha-daily-bee	1891-02-01	0
the-sioux-county-journal	1891-01-29	0.0214
the-indianapolis-journal	1891-01-25	0.0173
the-herald-advance	1890-11-28	0
the-daily-state-chronicle	1890-11-19	0
the-dickinson-press	1891-02-28	0
the-butler-weekly-times	1891-01-21	0.0127
the-jersey-city-news	1891-02-25	0
arizona-weekly-enterprise	1890-12-13	0
the-black-hills-union	1891-01-01	0.0165
the-daily-morning-astorian	1890-12-07	0
the-weekly-tribune	1891-02-28	0
washington-standard	1890-12-05	0
the-daily-morning-astorian	1890-12-13	0
the-record-union	1891-01-18	0.0221
the-portland-daily-press	1891-01-23	0
morning-appeal	1890-12-19	0
western-kansas-world	1890-12-13	0
semi-weekly-interior-journal	1891-01-23	0
the-black-hills-union	1891-01-15	0
the-daily-bulletin	1891-02-04	0
omaha-daily-bee	1891-02-15	0
the-salt-lake-herald	1890-11-29	0
the-indianapolis-journal	1891-01-31	0.0117
the-southern-herald	1891-02-13	0
wheeling-register	1891-01-13	0.0249
the-londonderry-sifter	1890-11-13	0
lake-charles-commercial	1891-01-17	0
evening-capital	1891-02-11	0
butler-citizen	1891-03-27	0
maryland-independent	1891-01-02	0
warren-sheaf	1891-01-08	0.0101
the-columbian	1891-02-27	0
freie-presse-für-texas	1890-12-08	0
morning-journal-and-courier	1891-02-04	0
morning-journal-and-courier	1891-02-10	0
south-branch-intelligencer	1890-11-07	0
the-austin-weekly-statesman	1890-11-20	0
gazeta-de-puerto-rico	1890-11-04	0
maryland-independent	1891-01-16	0
peninsula-enterprise	1890-11-22	0
the-grenada-sentinel	1891-03-28	0
the-roanoke-times	1891-03-14	0
evening-capital	1891-02-05	0
the-great-west	1890-12-05	0
idaho-news	1890-11-08	0
wheeling-register	1891-01-07	0.0319
wood-river-times	1890-12-13	0
the-comet	1891-03-05	0
lake-charles-commercial	1891-01-03	0
arizona-republican	1890-12-26	0
the-farmers'-alliance	1891-01-17	0
boletín-mercantil-de-puerto-rico	1891-02-04	0
pittsburg-dispatch	1891-01-17	0.0169
the-madison-daily-leader	1891-01-02	0
sacramento-daily-record-union	1891-01-08	0.0184
the-carbon-advocate	1891-01-03	0
daily-independent	1890-12-10	0
evening-star	1890-11-11	0
telegram-herald	1891-02-06	0
the-abbeville-press-and-banner	1890-12-03	0
evening-star	1890-11-05	0
perrysburg-journal	1890-11-08	0
telegram-herald	1891-02-12	0
the-mccook-tribune	1891-03-13	0
the-abbeville-press-and-banner	1890-12-17	0
freie-presse-für-texas	1890-12-20	0
daily-independent	1890-12-04	0
thomas-county-cat	1890-11-06	0
pittsburg-dispatch	1891-01-03	0.0179
the-madison-daily-leader	1891-01-16	0.0235
the-columbus-journal	1891-02-11	0
the-sun	1890-11-26	0
wessington-springs-herald	1890-12-05	0
the-carbon-advocate	1891-01-17	0
the-farmers'-alliance	1891-01-03	0
the-grenada-sentinel	1891-03-14	0
the-roanoke-times	1891-03-28	0
the-sedalia-weekly-bazoo	1891-03-10	0
fort-worth-daily-gazette	1890-12-26	0
watertown-republican	1891-01-07	0.0224
the-pickens-sentinel	1891-03-05	0
the-bennington-banner	1891-03-19	0
waterbury-evening-democrat	1891-01-07	0.0193
the-pascagoula-democrat-star	1891-01-30	0
daily-tobacco-leaf-chronicle	1891-01-07	0.0341
savannah-courier	1890-12-11	0
gazeta-de-puerto-rico	1891-03-28	0
the-dalles-daily-chronicle	1891-03-28	0
asheville-daily-citizen	1891-01-03	0
der-deutsche-correspondent	1891-02-11	0
asheville-daily-citizen	1891-01-17	0
santa-fe-daily-new-mexican	1891-01-31	0
der-deutsche-correspondent	1891-02-05	0
the-evening-world	1891-02-14	0
st	1890-12-27	0
fisherman-&-farmer	1891-01-16	0.0111
skaffaren	1891-01-07	0
the-anaconda-standard	1891-02-21	0
the-helena-independent	1891-01-26	0
the-sun	1891-03-22	0
waterbury-evening-democrat	1891-01-13	0.0201
daily-tobacco-leaf-chronicle	1891-01-13	0.0247
richmond-dispatch	1891-02-06	0
the-roanoke-times	1890-11-04	0
the-dalles-daily-chronicle	1891-03-14	0
santa-fe-daily-new-mexican	1891-01-19	0
the-fairfield-news-and-herald	1890-12-10	0
the-anaconda-standard	1891-02-09	0
gazeta-de-puerto-rico	1891-03-14	0
the-evening-world	1891-02-28	0
la-correspondencia-de-puerto-rico	1891-01-27	0
mineral-point-tribune	1891-02-07	0
bridgeton-pioneer	1891-03-19	0
belmont-chronicle	1891-02-19	0
the-enterprise	1890-12-24	0
mohave-county-miner	1891-03-07	0
richmond-dispatch	1891-02-12	0
the-climax	1891-01-14	0.0119
the-wichita-daily-eagle	1891-02-21	0
dziennik-chicagoski	1891-02-19	0
alexandria-gazette	1891-02-12	0
the-louisiana-democrat	1891-03-18	0
the-times	1891-01-16	0.0165
the-pacific-commercial-advertiser	1890-12-08	0
the-midland-journal	1891-01-09	0
new-york-tribune	1891-01-16	0
the-iowa-plain-dealer	1891-01-15	0.0147
new-york-tribune	1891-01-02	0
the-iowa-plain-dealer	1891-01-01	0
the-times	1891-01-02	0
democratic-northwest	1890-11-06	0
essex-county-herald	1891-03-06	0
alexandria-gazette	1891-02-06	0
keowee-courier	1890-11-27	0
iron-county-news	1890-12-20	0
daily-yellowstone-journal	1890-12-19	0
the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	1891-03-14	0
the-stark-county-democrat	1891-03-19	0
delaware-gazette-and-state-journal	1891-03-26	0
the-salt-lake-herald	1891-03-05	0
the-seattle-post-intelligencer	1891-02-03	0
dziennik-chicagoski	1891-02-25	0
the-superior-times	1891-03-21	0
the-morning-call	1891-01-16	0.0255
daily-yellowstone-journal	1890-12-31	0.029
los-angeles-herald	1890-12-16	0
the-l'anse-sentinel	1891-01-10	0
the-morning-news	1891-01-06	0.0198
rock-island-daily-argus	1891-02-05	0
tombstone-daily-prospector	1891-02-07	0
the-big-stone-post	1891-03-20	0
the-climax	1891-01-28	0
the-wheeling-daily-intelligencer	1891-02-05	0
the-iowa-plain-dealer	1891-01-29	0.0109
evening-journal	1890-11-13	0
evening-capital-journal	1891-02-13	0
the-newtown-bee	1890-12-05	0
the-daily-state-chronicle	1891-03-21	0
the-weekly-register	1890-12-31	0
the-pacific-commercial-advertiser	1890-12-20	0
the-wheeling-daily-intelligencer	1891-02-11	0
evening-journal	1890-11-07	0
evening-capital-journal	1891-02-07	0
the-morning-call	1891-01-02	0.0125
the-manchester-journal	1891-03-26	0
the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	1891-03-28	0
daily-yellowstone-journal	1890-12-25	0
los-angeles-herald	1890-12-02	0
tombstone-daily-prospector	1891-02-13	0
rock-island-daily-argus	1891-02-11	0
the-morning-news	1891-01-12	0.0175
the-salt-lake-herald	1891-03-11	0
the-seattle-post-intelligencer	1891-02-17	0
telegram-herald	1891-01-24	0.0115
the-wahpeton-times	1891-03-05	0
the-somerset-herald	1891-02-11	0
st	1891-03-15	0
the-arizona-champion	1891-03-07	0
the-sun	1890-12-10	0
the-madison-daily-leader	1891-02-20	0
the-wilmington-daily-republican	1891-03-05	0
the-vermont-watchman	1890-11-05	0
the-carbon-advocate	1891-02-21	0
wood-river-times	1890-11-19	0
weekly-independent	1891-03-15	0
arizona-republican	1890-11-04	0
fort-worth-daily-gazette	1890-11-10	0
arizona-republican	1890-11-10	0
weekly-independent	1891-03-01	0
the-farmers'-alliance	1891-02-21	0
watertown-republican	1891-02-25	0
fort-worth-daily-gazette	1890-11-04	0
the-sun	1890-12-04	0
wheeling-register	1891-02-19	0
pittsburg-dispatch	1891-02-21	0
the-wilmington-daily-republican	1891-03-11	0
the-gold-leaf	1891-02-26	0
daily-independent	1890-11-26	0
st	1891-03-01	0
south-branch-intelligencer	1890-12-19	0
telegram-herald	1891-01-30	0.0119
evening-star	1890-12-27	0
the-farmers'-union	1891-03-19	0
the-weekly-union-times	1890-11-14	0
marble-hill-press	1891-02-19	0
morning-journal-and-courier	1891-01-26	0
st	1891-03-29	0
telegram-herald	1891-01-18	0.0158
the-mt	1891-02-03	0
maryland-independent	1891-02-20	0
the-charlotte-democrat	1891-02-27	0
dakota-farmers'-leader	1891-02-12	0
weekly-independent	1891-03-29	0
the-evening-bulletin	1891-02-11	0
pittsburg-dispatch	1891-02-09	0
the-true-northerner	1890-12-31	0
wood-county-reporter	1891-02-19	0
wood-river-times	1890-11-25	0
the-evening-bulletin	1891-02-05	0
wheeling-register	1891-02-25	0
lake-charles-commercial	1891-02-21	0
oxford-democrat	1891-03-10	0
evening-capital	1891-01-27	0
lewiston-teller	1891-02-12	0
the-lexington-record	1890-11-01	0
the-dalles-daily-chronicle	1890-12-26	0
the-mt	1891-02-17	0
the-irish-standard	1891-01-24	0
turner-county-herald	1891-03-19	0
thomas-county-cat	1890-12-18	0
the-daily-morning-astorian	1890-11-25	0
the-jersey-city-news	1891-01-07	0
omaha-daily-bee	1891-01-23	0.0162
herald-and-news	1891-02-12	0
the-indianapolis-journal	1891-02-07	0
the-caucasian	1891-02-05	0
the-frankfort-roundabout	1891-03-14	0
scranton-wochenblatt	1890-12-04	0
los-angeles-herald	1891-03-18	0
the-lincoln-county-leader	1891-01-17	0
the-red-cloud-chief	1890-12-26	0
the-daily-bulletin	1891-01-26	0
the-indianapolis-journal	1891-02-13	0
the-jersey-city-news	1891-01-13	0
the-watchman-and-southron	1891-03-11	0
the-daily-state-chronicle	1890-12-07	0
the-pacific-commercial-advertiser	1891-03-12	0
the-record-union	1891-02-12	0
the-daily-morning-astorian	1890-11-19	0
the-meridional	1891-03-07	0
morning-appeal	1890-11-13	0
los-angeles-herald	1891-03-30	0
the-critic	1891-01-23	0
the-frankfort-roundabout	1891-03-28	0
daily-yellowstone-journal	1891-03-17	0
the-salt-lake-herald	1890-12-23	0
the-western-sentinel	1891-02-12	0
the-national-tribune	1891-01-08	0
deseret-evening-news	1891-01-05	0.0369
the-superior-times	1890-12-13	0
los-angeles-herald	1891-03-24	0
the-big-stone-post	1890-12-12	0
workmen's-advocate	1890-12-27	0
daily-yellowstone-journal	1891-03-03	0
the-holt-county-sentinel	1891-02-27	0
the-record-union	1891-02-06	0
desoto-times	1890-12-11	0
morning-appeal	1890-11-07	0
the-daily-state-chronicle	1890-12-13	0
the-pacific-commercial-advertiser	1891-03-06	0
la-voz-del-pueblo	1891-02-07	0
the-delta-independent	1890-12-02	0
richmond-dispatch	1890-11-19	0
connecticut-western-news	1891-02-18	0
waterbury-evening-democrat	1890-12-24	0
daily-tobacco-leaf-chronicle	1890-12-24	0
telegram-herald	1891-03-21	0
asheville-daily-citizen	1890-12-20	0
iuka-reporter	1890-12-25	0
the-mccook-tribune	1891-02-20	0
santa-fe-daily-new-mexican	1890-12-06	0
st	1891-01-10	0.0142
the-helena-independent	1890-12-11	0
the-anaconda-standard	1890-11-16	0
macon-beacon	1891-02-07	0
flat-top-monitor	1891-02-05	0
skaffaren	1890-12-24	0
st	1891-01-04	0.0109
shenandoah-herald	1891-02-06	0
the-helena-independent	1890-12-05	0
new-ulm-weekly-review	1891-03-25	0
the-anaconda-standard	1890-11-02	0
belmont-chronicle	1890-11-06	0
der-deutsche-correspondent	1890-11-26	0
santa-fe-daily-new-mexican	1890-12-12	0
waterbury-evening-democrat	1890-12-30	0.01
the-democratic-press	1890-12-10	0
weekly-independent	1891-01-04	0
daily-tobacco-leaf-chronicle	1890-12-30	0
the-dispatch	1891-02-25	0
the-delta-independent	1890-12-16	0
the-wilmington-daily-republican	1891-01-14	0
the-roanoke-times	1891-02-27	0
waterbury-evening-democrat	1890-12-18	0
daily-tobacco-leaf-chronicle	1890-12-18	0
richmond-dispatch	1890-11-25	0
morning-journal-and-courier	1891-03-23	0
turner-county-herald	1891-01-08	0.0155
telegram-herald	1891-03-09	0
asheville-daily-citizen	1890-12-08	0
the-irish-standard	1891-03-21	0
chariton-courier	1890-12-25	0
the-hope-pioneer	1891-02-27	0
the-port-gibson-reveille	1891-02-25	0
the-southern-herald	1891-03-20	0
the-wilmington-daily-republican	1891-01-28	0
the-enterprise	1891-01-07	0.0318
omaha-daily-bee	1891-03-26	0
deseret-evening-news	1891-03-28	0
the-morning-call	1890-12-09	0
iron-county-news	1891-01-17	0
arizona-weekly-citizen	1890-11-01	0
the-wichita-daily-eagle	1890-11-02	0
los-angeles-herald	1891-01-09	0.0168
tombstone-daily-prospector	1890-11-18	0
the-morning-news	1890-12-19	0
the-jersey-city-news	1891-03-02	0
the-times	1890-12-21	0
the-jersey-city-news	1891-03-16	0
new-york-tribune	1890-12-21	0
kansas-agitator	1890-12-22	0
evening-capital-journal	1890-11-18	0
the-watchman-and-southron	1891-01-14	0
evening-journal	1891-02-18	0
arizona-weekly-citizen	1890-11-15	0
iron-county-news	1891-01-03	0
the-wichita-daily-eagle	1890-11-16	0
the-daily-bulletin	1891-03-23	0
alexandria-gazette	1890-11-25	0
mexico-weekly-ledger	1891-03-05	0
the-seattle-post-intelligencer	1890-11-08	0
juniata-sentinel-and-republican	1890-11-05	0
tombstone-daily-prospector	1890-11-24	0
freeland-tribune	1891-02-12	0
rock-island-daily-argus	1890-11-26	0
the-morning-news	1890-12-25	0
the-national-tribune	1891-03-19	0
barton-county-democrat	1890-11-27	0
deseret-evening-news	1891-03-14	0
the-hot-springs-star	1891-03-06	0
the-seattle-post-intelligencer	1890-11-20	0
dodge-city-times	1890-12-12	0
the-times	1890-12-09	0
the-pacific-commercial-advertiser	1891-01-17	0
brenham-weekly-banner	1891-03-19	0
the-wheeling-daily-intelligencer	1890-11-26	0
new-york-tribune	1890-12-09	0
evening-capital-journal	1890-11-24	0
the-watchman-and-southron	1891-01-28	0
evening-journal	1891-02-24	0
democratic-northwest	1891-02-19	0
the-pacific-commercial-advertiser	1891-01-03	0
west-virginia-argus	1890-11-20	0
alexandria-gazette	1890-11-19	0
arizona-weekly-citizen	1890-11-29	0
the-morning-call	1890-12-21	0
the-morning-news	1890-12-31	0.0194
los-angeles-herald	1891-01-21	0
the-l'anse-sentinel	1890-12-27	0
daily-yellowstone-journal	1891-01-06	0.0155
daily-independent	1891-02-11	0
new-ulm-weekly-review	1890-12-17	0
evening-star	1891-01-10	0.0146
vermont-phœnix	1891-01-09	0.0125
asheville-daily-citizen	1891-03-06	0
telegram-herald	1890-12-07	0
santa-fe-daily-new-mexican	1891-03-20	0
arizona-republican	1891-02-27	0
idaho-semi-weekly-world	1891-03-27	0
waterbury-evening-democrat	1891-03-02	0
boletín-mercantil-de-puerto-rico	1890-12-05	0
bismarck-weekly-tribune	1890-11-14	0
daily-tobacco-leaf-chronicle	1891-03-02	0
watertown-republican	1890-11-12	0
pittsburg-dispatch	1890-11-16	0
the-madison-daily-leader	1890-11-03	0
the-delta-independent	1891-03-24	0
sacramento-daily-record-union	1890-11-09	0
wood-county-reporter	1890-11-06	0
pittsburg-dispatch	1890-11-02	0
the-madison-daily-leader	1890-11-17	0
the-columbus-journal	1890-12-10	0
the-sun	1891-01-27	0
waterbury-evening-democrat	1891-03-16	0
the-bennington-banner	1891-01-08	0
daily-tobacco-leaf-chronicle	1891-03-16	0
sullivan-republican	1891-02-20	0
telegram-herald	1890-12-13	0
the-sully-county-watchman	1891-03-14	0
asheville-daily-citizen	1891-03-12	0
fisherman-&-farmer	1891-03-13	0
the-somerset-herald	1890-11-26	0
daily-independent	1891-02-05	0
freie-presse-für-texas	1891-02-21	0
new-ulm-weekly-review	1890-12-03	0
the-helena-independent	1891-03-23	0
bridgeton-pioneer	1891-01-08	0
shepherdstown-register	1890-12-19	0
the-irish-standard	1890-12-13	0
the-columbian	1890-12-26	0
freie-presse-für-texas	1891-02-09	0
morning-journal-and-courier	1890-12-05	0
morris-tribune	1891-02-04	0
wheeling-register	1890-11-12	0
the-southern-herald	1890-12-12	0
the-anderson-intelligencer	1890-12-25	0
wood-river-times	1891-02-06	0
bismarck-weekly-tribune	1890-11-28	0
evening-capital	1890-12-10	0
evening-capital	1890-12-04	0
the-state-rights-democrat	1890-11-07	0
wheeling-register	1890-11-06	0
sacramento-daily-record-union	1890-11-21	0
the-evening-bulletin	1890-11-26	0
wood-river-times	1891-02-12	0
morning-journal-and-courier	1890-12-11	0
la-correspondencia-de-puerto-rico	1891-03-22	0
hermanner-volksblatt	1891-01-23	0
the-dalles-daily-chronicle	1891-01-05	0.0118
the-sully-county-watchman	1891-03-28	0
marble-hill-press	1890-11-06	0
indian-chieftain	1890-11-27	0
the-daily-state-chronicle	1891-01-18	0
the-times	1891-03-13	0
new-york-tribune	1891-03-13	0
kansas-agitator	1891-03-10	0
the-climax	1891-03-11	0
the-daily-bulletin	1890-12-11	0
the-indianapolis-journal	1890-11-24	0
the-daily-bulletin	1890-12-05	0
omaha-daily-bee	1890-12-14	0
the-salt-lake-herald	1891-01-28	0
the-indianapolis-journal	1890-11-30	0
new-york-tribune	1891-03-07	0
burlington-weekly-free-press	1890-12-05	0
the-portland-daily-press	1890-11-22	0
the-camden-chronicle	1891-02-06	0
morning-appeal	1891-02-18	0
ellsworth-american	1891-01-22	0
spokane-falls-review	1890-12-11	0
the-jersey-city-news	1890-12-30	0
the-times	1891-03-07	0
the-daily-state-chronicle	1891-01-24	0
the-jersey-city-news	1890-12-18	0
wheeling-sunday-register	1891-01-11	0.0276
the-indianapolis-journal	1890-11-18	0
the-louisiana-democrat	1891-01-21	0.0146
the-superior-times	1891-01-24	0.0143
the-morning-call	1891-03-13	0
workmen's-advocate	1891-01-10	0
the-morning-news	1891-03-03	0
the-brookhaven-leader	1891-02-12	0
the-morning-call	1891-03-07	0
the-mitchell-capital	1891-02-20	0
the-morning-news	1891-03-17	0
the-salt-lake-herald	1891-01-14	0.0274
omaha-daily-bee	1890-12-28	0
deseret-evening-news	1890-12-26	0
the-daily-state-chronicle	1891-01-30	0
the-republican-journal	1891-03-26	0
dodge-city-times	1891-03-20	0
morning-appeal	1891-02-24	0
deseret-evening-news	1890-12-27	0
omaha-daily-bee	1890-12-29	0
the-salt-lake-herald	1891-01-15	0.026
wheeling-sunday-register	1891-01-04	0.018
the-critic	1890-12-15	0
the-morning-news	1891-03-16	0
the-big-stone-post	1891-01-30	0
the-manchester-journal	1891-01-22	0
the-dalles-weekly-chronicle	1890-12-27	0
the-morning-call	1891-03-06	0
the-superior-times	1891-01-31	0
morning-appeal	1891-02-25	0
the-daily-state-chronicle	1891-01-31	0
the-jersey-city-news	1890-12-19	0
the-daily-state-chronicle	1891-01-25	0
the-kimball-graphic	1890-12-26	0
the-l'anse-sentinel	1891-03-14	0
the-morning-news	1891-03-02	0
the-morning-call	1891-03-12	0
the-indianapolis-journal	1890-11-19	0
the-colfax-chronicle	1891-02-21	0
the-salt-lake-herald	1891-01-01	0
delaware-gazette-and-state-journal	1891-01-22	0.0268
the-climax	1891-03-04	0
the-critic	1890-12-29	0
the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	1891-01-10	0
essex-county-herald	1891-01-02	0
the-salt-lake-herald	1891-01-29	0.0107
omaha-daily-bee	1890-12-15	0
the-daily-bulletin	1890-12-04	0
the-times	1891-03-06	0
the-jersey-city-news	1890-12-31	0
the-washburn-leader	1891-02-21	0
morning-appeal	1891-02-19	0
the-iowa-plain-dealer	1891-03-05	0
new-york-tribune	1891-03-06	0
the-camden-chronicle	1891-02-13	0
new-york-tribune	1891-03-12	0
the-times	1891-03-12	0
saint-mary's-beacon	1891-02-05	0
spokane-falls-review	1890-12-04	0
western-kansas-world	1891-02-07	0
hopkinsville-kentuckian	1890-12-12	0
the-indianapolis-journal	1890-11-25	0
the-caucasian	1890-11-27	0
essex-county-herald	1891-01-16	0
omaha-daily-bee	1890-12-01	0
the-daily-bulletin	1890-12-10	0
the-l'anse-sentinel	1891-03-28	0
wood-river-times	1891-02-13	0
sacramento-daily-record-union	1890-11-20	0
the-evening-bulletin	1890-11-27	0.0147
the-true-northerner	1891-01-07	0
wheeling-register	1890-11-07	0
mohave-county-miner	1891-01-03	0
evening-capital	1890-12-05	0
the-pickens-sentinel	1891-01-29	0.0138
the-irish-standard	1890-12-06	0
pullman-herald	1890-11-01	0
santa-fe-daily-new-mexican	1891-03-09	0
morris-tribune	1891-02-11	0
morning-journal-and-courier	1890-12-10	0
la-correspondencia-de-puerto-rico	1891-03-23	0
gazeta-de-puerto-rico	1891-01-10	0
morning-journal-and-courier	1890-12-04	0
sturgis-advertiser	1891-02-12	0.0206
pullman-herald	1890-11-15	0
marble-hill-press	1890-11-13	0
alma-record	1891-02-20	0
the-dalles-daily-chronicle	1891-01-10	0.0262
mohave-county-miner	1891-01-17	0.0169
evening-capital	1890-12-11	0
wood-river-times	1891-02-07	0
wheeling-register	1890-11-13	0
the-pascagoula-democrat-star	1891-03-20	0
daily-tobacco-leaf-chronicle	1891-03-17	0
boletín-mercantil-de-puerto-rico	1890-12-10	0
the-pickens-sentinel	1891-01-15	0.0144
waterbury-evening-democrat	1891-03-17	0
the-manitowoc-pilot	1891-02-26	0
wood-county-reporter	1890-11-13	0
the-sun	1891-01-26	0
the-delta-independent	1891-03-31	0
pittsburg-dispatch	1890-11-03	0
the-helena-independent	1891-03-22	0
freie-presse-für-texas	1891-02-20	0
daily-independent	1891-02-04	0
asheville-daily-citizen	1891-03-13	0
telegram-herald	1890-12-12	0
warren-sheaf	1890-11-20	0
evening-star	1891-01-05	0.0351
santa-fe-daily-new-mexican	1891-03-21	0
pullman-herald	1890-11-29	0
telegram-herald	1890-12-06	0
asheville-daily-citizen	1891-03-07	0
the-austin-weekly-statesman	1891-01-08	0.033
daily-independent	1891-02-10	0
fisherman-&-farmer	1891-03-06	0
sacramento-daily-record-union	1890-11-08	0
pittsburg-dispatch	1890-11-17	0
the-anderson-intelligencer	1890-12-18	0
daily-tobacco-leaf-chronicle	1891-03-03	0
the-pickens-sentinel	1891-01-01	0
arizona-republican	1891-02-26	0
waterbury-evening-democrat	1891-03-03	0
the-pacific-commercial-advertiser	1891-01-02	0
the-weekly-register	1891-01-07	0
the-meridional	1891-01-17	0
evening-journal	1891-02-25	0
evening-capital-journal	1890-11-25	0
daily-yellowstone-journal	1891-01-07	0.0108
los-angeles-herald	1891-01-20	0
the-morning-news	1890-12-30	0.0136
the-morning-call	1890-12-20	0
catoctin-clarion	1891-01-08	0
emmons-county-record	1890-11-28	0
the-hot-springs-star	1891-03-13	0
alexandria-gazette	1890-11-18	0
capital-city-courier	1890-11-15	0
the-seattle-post-intelligencer	1890-11-21	0
the-lafayette-advertiser	1890-11-29	0
capital-city-courier	1890-11-01	0
daily-yellowstone-journal	1891-01-13	0.0353
tombstone-daily-prospector	1890-11-25	0
the-morning-news	1890-12-24	0
the-meridional	1891-01-03	0
new-york-tribune	1890-12-08	0
the-wheeling-daily-intelligencer	1890-11-27	0
the-pacific-commercial-advertiser	1891-01-16	0
the-bossier-banner	1891-02-26	0
evening-journal	1891-02-19	0
evening-capital-journal	1890-11-19	0
the-daily-critic	1890-11-22	0
new-york-tribune	1890-12-20	0
the-jersey-city-news	1891-03-17	0
the-times	1890-12-20	0
the-seattle-post-intelligencer	1890-11-09	0
alexandria-gazette	1890-11-24	0
capital-city-courier	1890-11-29	0
the-lafayette-advertiser	1890-11-01	0
the-press	1891-03-19	0
the-lincoln-county-leader	1891-03-07	0
the-princeton-union	1891-01-08	0
the-frankfort-roundabout	1891-01-10	0
tombstone-daily-prospector	1890-11-19	0
the-middleburgh-post	1891-03-05	0
the-morning-news	1890-12-18	0
los-angeles-herald	1891-01-08	0.0209
the-morning-call	1890-12-08	0
orleans-county-monitor	1891-01-26	0
the-lafayette-advertiser	1890-11-15	0
omaha-daily-bee	1891-03-27	0
the-jersey-city-news	1891-03-03	0
new-ulm-weekly-review	1891-03-18	0
the-new-north-west	1891-02-27	0
the-wahpeton-times	1891-01-29	0
the-breckenridge-news	1890-12-10	0
asheville-daily-citizen	1890-12-09	0
telegram-herald	1891-03-08	0
richmond-dispatch	1890-11-30	0
the-wilmington-daily-republican	1891-01-29	0
connecticut-western-news	1891-02-25	0
daily-tobacco-leaf-chronicle	1890-12-19	0
lawrence-democrat	1890-11-28	0
frostburg-mining-journal	1890-11-08	0
waterbury-evening-democrat	1890-12-19	0
the-roanoke-times	1891-02-26	0
iuka-reporter	1890-12-18	0
chariton-courier	1890-12-18	0
santa-fe-daily-new-mexican	1890-12-13	0
der-deutsche-correspondent	1890-11-27	0
the-wahpeton-times	1891-01-15	0.012
the-port-gibson-reveille	1891-02-18	0
the-arizona-champion	1891-01-17	0
the-anaconda-standard	1890-11-03	0
the-helena-independent	1890-12-04	0.0109
st	1891-01-05	0.0146
the-wilmington-daily-republican	1891-01-15	0.0177
daily-tobacco-leaf-chronicle	1890-12-31	0.0216
the-pioche-weekly-record	1890-11-08	0
waterbury-evening-democrat	1890-12-31	0
the-pascagoula-democrat-star	1890-12-12	0
daily-tobacco-leaf-chronicle	1890-12-25	0
lawrence-democrat	1890-11-14	0
boletín-mercantil-de-puerto-rico	1891-03-22	0
weekly-independent	1891-01-11	0.0188
the-wilmington-daily-republican	1891-01-01	0.0113
richmond-dispatch	1890-11-18	0
the-arizona-champion	1891-01-03	0
the-anaconda-standard	1890-11-17	0
the-helena-independent	1890-12-10	0
the-evening-world	1890-11-22	0
st	1891-01-11	0.0118
skaffaren	1890-12-31	0
belmont-chronicle	1890-11-13	0
the-sully-county-watchman	1890-12-27	0
telegram-herald	1891-03-20	0
the-hocking-sentinel	1891-02-12	0
