newspaper	city	state
Aberdeen herald
Abilene weekly reflector
Albuquerque weekly citizen
Alexandria gazette
Alma record
Alpena weekly argus
Ameryka
Arizona republican
Arizona silver belt
Arizona weekly citizen
Arizona weekly enterprise
Arizona weekly journal-miner
Asheville daily citizen
Barbour County index
Barton County democrat
Baxter Springs news
Bellows Falls times
Belmont chronicle
Bismarck weekly tribune
Blue-grass blade
Boletín mercantil de Puerto Rico
Brenham weekly banner
Bridgeton pioneer
Burlington weekly free press
Butler citizen
Capital city courier
Catoctin clarion
Chariton courier
Clinch Valley news
Connecticut western news
Copiah signal
Courier Democrat
Crawford avalanche
Crittenden press
Daily Yellowstone journal
Daily independent
Daily tobacco leaf-chronicle
"Dakota farmers leader"
DeSoto times
Delaware gazette and state journal
Deming headlight
Democratic Northwest
Der Deutsche correspondent
Der fortschritt
Der westbote
Deseret evening news
Dodge City times
Dziennik Chicagoski
"Echo de louest"
El fronterizo
Ellsworth American
Elmore bulletin
Emmons County record
Essex County herald
Eureka weekly sentinel
Evening capital
Evening capital journal
Evening journal
Evening star
Fair play
Feliciana sentinel
Fergus County argus
Fergus Falls ugeblad
Fisherman & farmer
Flat Top monitor
Fort Worth daily gazette
Fort Worth weekly gazette
Freeland tribune
Freie Presse für Texas
Frostburg mining journal
Gazeta de Puerto-Rico
Griggs courier
Herald and news
Herald and tribune
Hermanner Volksblatt
Hopkinsville Kentuckian
Idaho County free press
Idaho news
Idaho semi-weekly world
Indian chieftain
Iowa County democrat
Iron County news
Iron County register
Iuka reporter
Jamestown weekly alert
Juniata sentinel and Republican
Kansas agitator
Keowee courier
La correspondencia de Puerto Rico
La voz del pueblo
Lake Charles commercial
Lawrence democrat
Le Meschacébé
Lewiston teller
Little Falls transcript
Los Angeles herald
Los Cerrillos rustler
Lyon County times
Macon beacon
Marble Hill press
Maryland independent
Mexico weekly ledger
Middlebury register
Middletown transcript
Mineral Point tribune
Mohave County miner
Morning appeal
Morning journal and courier
Morris tribune
Mower County transcript
Nevada County picayune
New Ulm weekly review
New-York tribune
News and citizen
Oakes weekly Republican
Omaha daily bee
Orange County observer
Orleans County monitor
Oxford Democrat
Oxford eagle
Peninsula enterprise
Perrysburg journal
Phillipsburg herald
Pierre weekly free press
Pittsburg dispatch
Port Tobacco times and Charles County advertiser
Pullman herald
Richmond dispatch
Richmond planet
Rio Grande republican
Rock Island daily Argus
Sacramento daily record-union
"Saint Marys beacon"
Santa Fe daily New Mexican
Savannah courier
Scranton Wochenblatt
Semi-weekly interior journal
