newsloc	newspaper	location	state	issues mentioning wk OR pr OR gd
"herald-and-news_west-randolph,-vt."	herald-and-news	"west-randolph,-vt."	VT	2
"st-landry-clarion_opelousas,-la."	st-landry-clarion	"opelousas,-la."	LA	1
"the-madison-daily-leader_madison,-s.d."	the-madison-daily-leader	"madison,-s.d."	SD	48
"the-bennington-banner_bennington,-vt."	the-bennington-banner	"bennington,-vt."	VT	1
"griggs-courier_cooperstown,-griggs-co.,-dak.-[n.d.]"	griggs-courier	"cooperstown,-griggs-co.,-dak.-[n.d.]"	ND	14
deseret-evening-news_great-salt-lake-city-[utah]	deseret-evening-news	great-salt-lake-city-[utah]	UT	38
"the-cape-girardeau-democrat_cape-girardeau,-mo."	the-cape-girardeau-democrat	"cape-girardeau,-mo."	MO	3
"crawford-avalanche_grayling,-mich."	crawford-avalanche	"grayling,-mich."	MI	11
"the-democratic-advocate_westminster,-md."	the-democratic-advocate	"westminster,-md."	MD	4
new-york-tribune_new-york-[n.y.]	new-york-tribune	new-york-[n.y.]	NY	27
fair-play_ste.-genevieve-[mo.]	fair-play	ste.-genevieve-[mo.]	MO	6
"lyon-county-times_silver-city,-nev."	lyon-county-times	"silver-city,-nev."	NV	3
"the-seattle-post-intelligencer_seattle,-wash.-terr.-[wash.]"	the-seattle-post-intelligencer	"seattle,-wash.-terr.-[wash.]"	WA	84
"alma-record_alma,-mich."	alma-record	"alma,-mich."	MI	2
"the-caucasian_clinton,-n.c."	the-caucasian	"clinton,-n.c."	NC	1
"the-stark-county-democrat_canton,-ohio"	the-stark-county-democrat	"canton,-ohio"	OH	8
"oxford-eagle_oxford,-lafayette-co.,-miss."	oxford-eagle	"oxford,-lafayette-co.,-miss."	MI	11
le-meschacébé_[lucy]-la.	le-meschacébé	[lucy]-la.	LA	0
"pullman-herald_pullman,-w.t.-[wash.]"	pullman-herald	"pullman,-w.t.-[wash.]"	WA	6
"st-landry-democrat_opelousas,-la."	st-landry-democrat	"opelousas,-la."	LA	1
"the-somerset-herald_somerset,-pa."	the-somerset-herald	"somerset,-pa."	PA	4
"the-gold-leaf_henderson,-n.c."	the-gold-leaf	"henderson,-n.c."	NC	2
"the-great-west_st.-paul,-minn."	the-great-west	"st.-paul,-minn."	MN	1
"wheeling-sunday-register_wheeling,-w.-va."	wheeling-sunday-register	"wheeling,-w.-va."	WV	15
"the-fairfield-news-and-herald_winnsboro,-s.c."	the-fairfield-news-and-herald	"winnsboro,-s.c."	SC	8
"evening-capital-journal_salem,-or."	evening-capital-journal	"salem,-or."	OR	26
"essex-county-herald_guildhall,-vt."	essex-county-herald	"guildhall,-vt."	VT	4
"albuquerque-weekly-citizen_albuquerque,-n.m."	albuquerque-weekly-citizen	"albuquerque,-n.m."	NM	1
"dodge-city-times_dodge-city,-kan."	dodge-city-times	"dodge-city,-kan."	KS	12
"the-greenville-times_greenville,-miss."	the-greenville-times	"greenville,-miss."	MS	3
"the-helena-independent_helena,-mont."	the-helena-independent	"helena,-mont."	MT	82
"the-morning-news_savannah,-ga."	the-morning-news	"savannah,-ga."	GA	81
"the-colfax-chronicle_colfax,-grant-parish,-la."	the-colfax-chronicle	"colfax,-grant-parish,-la."	LA	1
"the-corvallis-gazette_corvallis,-or."	the-corvallis-gazette	"corvallis,-or."	OR	2
"the-new-north-west_deer-lodge,-mont."	the-new-north-west	"deer-lodge,-mont."	MT	11
"the-lebanon-express_lebanon,-linn-county,-or."	the-lebanon-express	"lebanon,-linn-county,-or."	OR	7
"the-comet_johnson-city,-tenn."	the-comet	"johnson-city,-tenn."	TN	3
"barton-county-democrat_great-bend,-kan."	barton-county-democrat	"great-bend,-kan."	KS	14
"peninsula-enterprise_accomac,-va."	peninsula-enterprise	"accomac,-va."	VA	0
"the-mccook-tribune_mccook,-neb."	the-mccook-tribune	"mccook,-neb."	NE	17
"turner-county-herald_hurley,-dakota-[s.d.]"	turner-county-herald	"hurley,-dakota-[s.d.]"	SD	9
"the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district_thibodaux,-lna.-[i.e.-la.]"	the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	"thibodaux,-lna.-[i.e.-la.]"	LA	1
"the-charlotte-democrat_charlotte,-n.c."	the-charlotte-democrat	"charlotte,-n.c."	NC	1
"the-evening-bulletin_maysville,-ky."	the-evening-bulletin	"maysville,-ky."	KY	49
"the-pascagoula-democrat-star_pascagoula,-miss."	the-pascagoula-democrat-star	"pascagoula,-miss."	MS	0
"the-philipsburg-mail_philipsburg,-mont."	the-philipsburg-mail	"philipsburg,-mont."	MT	6
"shenandoah-herald_woodstock,-va."	shenandoah-herald	"woodstock,-va."	VA	4
"fisherman-&-farmer_edenton,-n.c."	fisherman-&-farmer	"edenton,-n.c."	NC	6
"the-red-cloud-chief_red-cloud,-webster-co.,-neb."	the-red-cloud-chief	"red-cloud,-webster-co.,-neb."	NE	11
"der-westbote_columbus,-ohio"	der-westbote	"columbus,-ohio"	OH	7
"aberdeen-herald_aberdeen,-chehalis-county,-w.t."	aberdeen-herald	"aberdeen,-chehalis-county,-w.t."	WA	2
"iron-county-register_ironton,-iron-county,-mo."	iron-county-register	"ironton,-iron-county,-mo."	MO	11
"the-bolivar-bulletin_bolivar,-tenn."	the-bolivar-bulletin	"bolivar,-tenn."	TN	4
"port-tobacco-times,-and-charles-county-advertiser_port-tobacco,-md."	"port-tobacco-times,-and-charles-county-advertiser"	"port-tobacco,-md."	MD	0
the-jersey-city-news_jersey-city-[n.j.]	the-jersey-city-news	jersey-city-[n.j.]	NJ	5
"richmond-dispatch_richmond,-va."	richmond-dispatch	"richmond,-va."	VA	20
"the-mitchell-capital_mitchell,-dakota-[s.d.]"	the-mitchell-capital	"mitchell,-dakota-[s.d.]"	SD	13
"the-livingston-enterprise_livingston,-mont."	the-livingston-enterprise	"livingston,-mont."	MT	13
"the-hartford-herald_hartford,-ky."	the-hartford-herald	"hartford,-ky."	KY	2
"el-fronterizo_tucson,-ariz."	el-fronterizo	"tucson,-ariz."	AZ	4
"orleans-county-monitor_barton,-vt."	orleans-county-monitor	"barton,-vt."	VT	4
"the-durham-recorder_durham,-n.c."	the-durham-recorder	"durham,-n.c."	NC	3
"the-prison-mirror_stillwater,-minn."	the-prison-mirror	"stillwater,-minn."	MN	2
"the-redwood-gazette_redwood-falls,-minn."	the-redwood-gazette	"redwood-falls,-minn."	MN	8
"the-north-platte-tribune_north-platte,-neb."	the-north-platte-tribune	"north-platte,-neb."	NE	1
