newsloc	newspaper	location	state	issues mentioning wk OR pr OR gd
"the-islander_friday-harbor,-wash."	the-islander	"friday-harbor,-wash."	WA	0
"courier-democrat_langdon,-n.d."	courier-democrat	"langdon,-n.d."	ND	0
"wessington-springs-herald_wessington-springs,-aurora-county,-dakota-[s.d.]"	wessington-springs-herald	"wessington-springs,-aurora-county,-dakota-[s.d.]"	SD	12
"the-pioneer-express_pembina,-dakota-[n.d.]"	the-pioneer-express	"pembina,-dakota-[n.d.]"	ND	4
"the-hazel-green-herald_hazel-green,-wolfe-county,-ky."	the-hazel-green-herald	"hazel-green,-wolfe-county,-ky."	KY	0
"juniata-sentinel-and-republican_mifflintown,-juniata-county,-pa."	juniata-sentinel-and-republican	"mifflintown,-juniata-county,-pa."	PA	3
"the-critic-and-record_washington,-d.c."	the-critic-and-record	"washington,-d.c."	DC	1
"spokane-falls-review_spokane-falls,-w.t.-[wash.]"	spokane-falls-review	"spokane-falls,-w.t.-[wash.]"	WA	6
"news-and-citizen_morrisville,-vt.-;"	news-and-citizen	"morrisville,-vt.-;"	VT	2
"the-columbia-herald_columbia,-tenn."	the-columbia-herald	"columbia,-tenn."	TN	4
"the-diamond-drill_crystal-falls,-iron-county,-mich."	the-diamond-drill	"crystal-falls,-iron-county,-mich."	MI	5
"copiah-signal_hazlehurst,-miss."	copiah-signal	"hazlehurst,-miss."	MS	0
"the-laurens-advertiser_laurens,-s.c."	the-laurens-advertiser	"laurens,-s.c."	SC	0
"the-camden-chronicle_camden,-tenn."	the-camden-chronicle	"camden,-tenn."	TN	4
